cycle      , unique_vpns, max_counter, mean_counter   , median_counter, std_counter        , approx_ws_ge_1, approx_ws_ge_4, approx_ws_ge_16, approx_ws_ge_32, common_vpns, new_vpns, pages_accessed_flag
  120005635,        4096,          37,  5.790771484375,            6.0,  4.762209102677492 ,           2958,           2873,             121,               1,           0,     4096,                   0
  130005955,        4096,          52,  4.126708984375,            4.0,  3.6728136445583046,           2957,           2435,              39,               2,        3396,      700,                2151
  140007833,        4096,          43,  4.6953125     ,            3.0,  4.989974078950085 ,           2983,           1917,             168,               2,        2810,     1286,                1055
  150008118,        4096,          42,  5.3125        ,            6.0,  4.4567145620400686,           2929,           2840,              63,              10,        3034,     1062,                1874
  160009185,        4096,          75,  6.545654296875,            7.0,  5.081980811300536 ,           2956,           2910,             120,               5,        3294,      802,                2115
  170009308,        4096,          48,  6.88818359375 ,            7.0,  5.786416358921413 ,           2938,           2880,             253,              17,        2886,     1210,                1700
  180009333,        4096,          58,  6.821044921875,            7.0,  5.449963847530392 ,           2942,           2895,             184,               6,        3086,     1010,                1906
  190010156,        4096,          50,  6.15087890625 ,            7.0,  4.596957767034499 ,           2943,           2893,              57,               3,        3712,      384,                2509
  200012092,        4096,          38,  7.20361328125 ,            7.0,  6.072161006425028 ,           3000,           2945,             441,               7,        2810,     1286,                1650
  210012812,        4096,          52,  5.8818359375  ,            6.0,  5.040335560935749 ,           2943,           2855,              94,              19,        3092,     1004,                1939
  220013271,        4096,          40,  4.393310546875,            4.0,  3.6583653305597963,           2995,           2528,              19,               1,        3073,     1023,                1805
  230013296,        4096,          32,  6.072998046875,            6.0,  5.004030933360368 ,           2941,           2885,             193,               1,        2793,     1303,                1643
  240014005,        4096,          53,  7.57763671875 ,            9.0,  5.7370206670058055,           2945,           2889,             181,              10,        2968,     1128,                1790
  250014018,        4096,          58,  8.06591796875 ,           10.0,  6.070995218775574 ,           2939,           2871,             243,              13,        3545,      551,                2339
  260014158,        4096,          49,  9.368896484375,           10.0,  7.437559043425522 ,           2934,           2874,             735,              25,        3221,      875,                2027
  270014443,        4096,          71,  9.62841796875 ,           10.0,  7.879903795434442 ,           2924,           2864,             846,              36,        3068,     1028,                1871
  280027370,        4096,          53, 10.1376953125  ,           11.0,  8.287591025196377 ,           2918,           2884,             947,              64,        3058,     1038,                1854
  290027460,        4096,          66,  8.787353515625,            9.0,  7.96114503704134  ,           2906,           2854,             579,              76,        3334,      762,                2128
  300027540,        4096,          80, 11.18017578125 ,           10.0, 10.318996891369865 ,           2915,           2869,            1113,             167,        2951,     1145,                1740
  310027825,        4096,          62,  7.42431640625 ,            7.0,  6.778631012224156 ,           2915,           2863,             391,              25,        3063,     1033,                1806
  320028035,        4096,          56,  9.985595703125,           11.0,  8.159244992299014 ,           2936,           2900,             868,              53,        3090,     1006,                1915
  330096013,        4096,          42,  9.0009765625  ,           10.0,  6.838896611210443 ,           2952,           2911,             598,              10,        3300,      796,                2116
  340096027,        4096,          53,  9.658203125   ,           10.0,  8.080096537324925 ,           2933,           2887,             862,              49,        2852,     1244,                1659
  350096183,        4096,          83,  9.969970703125,           11.0,  7.989637245798722 ,           2926,           2886,             982,              36,        2684,     1412,                1486
  360096240,        4096,          66,  8.9833984375  ,           10.0,  6.780689620670788 ,           2944,           2898,             593,              11,        2954,     1142,                1746
  370096685,        4096,          67,  7.684814453125,            9.0,  5.774406749218149 ,           2946,           2891,             155,              12,        3611,      485,                2402
  380096707,        4096,          63,  8.45703125    ,            9.0,  7.361090522913262 ,           2938,           2879,             580,              44,        3087,     1009,                1883
  390097608,        4096,          58,  6.646728515625,            6.0,  5.977002969106046 ,           2943,           2875,             267,              14,        3283,      813,                2089
  400165010,        4096,          68,  9.079345703125,           10.0,  7.3538031695355155,           2953,           2901,             614,              27,        3101,      995,                1929
  410165108,        4096,          58,  9.9580078125  ,           11.0,  7.964165000562769 ,           2944,           2886,             888,              45,        3067,     1029,                1885
  420165109,        4096,          79,  9.3173828125  ,            9.0,  7.722282250107774 ,           2949,           2886,             736,              37,        3066,     1030,                1880
  430165670,        4096,          56, 10.755126953125,           11.0,  8.92067625941493  ,           2952,           2897,            1068,              92,        2718,     1378,                1518
  440165810,        4096,          92,  8.201171875   ,            9.0,  6.266778930037263 ,           2956,           2903,             321,               5,        3187,      909,                1997
  450165873,        4096,          78,  8.683837890625,           10.0,  7.055852272136978 ,           2937,           2872,             460,              35,        3119,      977,                1911
  460166085,        4096,          53,  8.31396484375 ,            9.0,  6.7494618059989815,           2931,           2866,             526,              14,        3126,      970,                1933
  470166390,        4096,          46,  8.14013671875 ,            8.0,  7.102788183615501 ,           2934,           2875,             539,              23,        3145,      951,                1954
  480166974,        4096,          49,  7.976318359375,            8.0,  6.724792030373305 ,           2934,           2872,             475,               9,        2838,     1258,                1641
  490167311,        4096,          49,  7.744873046875,            8.0,  6.454361873253943 ,           2909,           2852,             384,              20,        3050,     1046,                1868
  500167448,        4096,          63,  8.749755859375,            9.0,  7.54919574429673  ,           2914,           2861,             684,              36,        2882,     1214,                1700
  510167944,        4096,          39,  9.1435546875  ,           11.0,  6.787540102676873 ,           2930,           2888,             600,               7,        2850,     1246,                1663
  520168209,        4096,          58,  9.065185546875,           10.0,  7.131568988315517 ,           2918,           2874,             705,              15,        2678,     1418,                1500
  530168539,        4096,          50, 10.117919921875,           12.0,  7.4714960412992255,           2931,           2895,            1008,              10,        2768,     1328,                1566
  540168733,        4096,          60, 11.403564453125,           12.0,  8.870981539071588 ,           2929,           2881,            1347,              40,        2781,     1315,                1569
  550169267,        4096,          67, 10.409912109375,           12.0,  7.809073585625425 ,           2946,           2891,            1057,              18,        3578,      518,                2407
  560169655,        4096,          57,  9.64794921875 ,           10.0,  7.998448683411756 ,           2923,           2870,             641,              57,        3342,      754,                2134
  570169889,        4096,          80, 12.71240234375 ,           12.0, 11.402409562812569 ,           2934,           2881,            1354,             310,        2902,     1194,                1729
  580170166,        4096,          76, 13.22802734375 ,           14.0, 10.71680264814335  ,           2934,           2884,            1836,             149,        3038,     1058,                1839
  590261130,        4096,          59, 10.602783203125,           12.0,  8.164249074893867 ,           2957,           2920,            1081,              38,        3077,     1019,                1886
  600261782,        4096,          51,  8.75927734375 ,           10.0,  6.567197862027452 ,           2959,           2904,             473,              14,        3685,      411,                2496
  610262288,        4096,          68, 11.906494140625,           10.0, 10.808719390260233 ,           2960,           2897,            1233,             222,        2773,     1323,                1585
  620263793,        4096,          60,  7.152099609375,            8.0,  5.314802854359037 ,           2975,           2912,             122,               5,        2795,     1301,                1606
  630263897,        4096,          83,  6.810546875   ,            6.0,  7.2872993978172556,           2932,           2843,             438,              42,        3237,      859,                2066
  640264385,        4096,          71,  8.109130859375,            7.0,  7.683945737455274 ,           2941,           2871,             532,              51,        3060,     1036,                1896
  650264595,        4096,          76,  8.89990234375 ,            9.0,  7.812608748632767 ,           2918,           2869,             590,              58,        3131,      965,                1905
  660264697,        4096,          68, 10.36767578125 ,           11.0,  8.39480343284655  ,           2928,           2870,             976,              53,        3147,      949,                1949
  670264944,        4096,          64, 11.610595703125,           13.0,  9.255117621305539 ,           2932,           2877,            1268,              82,        3263,      833,                2057
  680264968,        4096,          65, 11.978515625   ,           11.0, 10.414084294976725 ,           2929,           2891,            1295,             198,        2934,     1162,                1742
  690265029,        4096,          50, 10.553466796875,           12.0,  8.139924555570643 ,           2912,           2877,            1110,              27,        3456,      640,                2258
  700265140,        4096,          96, 10.405029296875,           12.0,  8.493578922297592 ,           2909,           2868,             856,              63,        3644,      452,                2421
  710265176,        4096,          70, 14.14208984375 ,           13.0, 12.32484018055825  ,           2927,           2884,            1630,             400,        2707,     1389,                1499
  720265257,        4096,          84, 10.759033203125,           12.0,  8.295965195107126 ,           2916,           2889,            1199,              34,        3439,      657,                2201
  730265410,        4096,          66, 10.03466796875 ,           10.0,  8.587996328855919 ,           2913,           2870,             741,              58,        3378,      718,                2173
  740265983,        4096,          67, 10.8759765625  ,           10.0,  9.73033619181273  ,           2921,           2881,            1143,             140,        2884,     1212,                1669
  750414075,        4096,          68, 10.3642578125  ,           10.0,  8.620165755499293 ,           2971,           2937,             969,              86,        3880,      216,                2695
  760414288,        4096,          73, 11.805419921875,           10.0, 10.740365409988241 ,           2911,           2873,            1332,             168,        2743,     1353,                1562
  770414330,        4096,          91, 12.174560546875,           13.0,  9.866469184178792 ,           2912,           2870,            1557,              64,        2697,     1399,                1490
  780414472,        4096,          85, 10.86669921875 ,           12.0,  9.055832916301412 ,           2913,           2868,            1108,              62,        3727,      369,                2523
  790414993,        4096,          73, 11.062255859375,           12.0,  9.372644557692801 ,           2904,           2873,             947,             132,        3657,      439,                2449
  800415150,        4096,          95,  9.92626953125 ,           11.0,  8.851472630259211 ,           2918,           2884,             556,             104,        3779,      317,                2608
  810415215,        4096,         125, 15.607421875   ,           12.0, 15.548411783145939 ,           2907,           2876,            1353,             748,        2950,     1146,                1745
  820415277,        4096,          88, 12.318359375   ,           12.0, 11.462988796648961 ,           2910,           2874,            1385,             188,        3052,     1044,                1839
  830415443,        4096,         109, 15.14501953125 ,           14.0, 14.199986403754266 ,           2906,           2871,            1723,             505,        2929,     1167,                1704
  840415539,        4096,          84, 12.823486328125,           14.0, 10.438662227293122 ,           2890,           2861,            1718,             178,        3205,      891,                1963
  850415573,        4096,          80, 12.505126953125,           14.0, 10.074792233991808 ,           2890,           2855,            1584,             124,        3092,     1004,                1881
  860415706,        4096,          53, 11.798583984375,           12.0,  9.877185673207968 ,           2906,           2865,            1332,             164,        3046,     1050,                1822
  870415957,        4096,          74, 12.34912109375 ,           13.0, 10.153590479143267 ,           2890,           2859,            1546,             148,        2968,     1128,                1751
  880416176,        4096,          68, 12.955810546875,           14.0, 10.612619184918843 ,           2900,           2870,            1641,             186,        3343,      753,                2129
  890416209,        4096,          68, 12.889404296875,           14.0, 10.404993591412024 ,           2888,           2857,            1638,             164,        3002,     1094,                1766
  900417500,        4096,          92, 13.341064453125,           15.0, 10.564077787101889 ,           2900,           2875,            1809,             173,        3127,      969,                1912
  910417642,        4096,          66, 13.80517578125 ,           14.0, 11.56423688678974  ,           2880,           2859,            1739,             270,        2883,     1213,                1655
  920417716,        4096,          74, 13.39208984375 ,           15.0, 10.232291101186874 ,           2926,           2905,            1913,             135,        3491,      605,                2283
  930418025,        4096,          76, 14.012451171875,           14.0, 11.768440120039017 ,           2904,           2873,            1718,             292,        2728,     1368,                1512
  940418164,        4096,          80, 12.6416015625  ,           13.0,  9.999143897604313 ,           2906,           2870,            1642,              87,        2673,     1423,                1487
  950418167,        4096,          74, 14.92578125    ,           16.0, 11.314695029403065 ,           2943,           2917,            2177,             255,        2725,     1371,                1527
  960418329,        4096,          94, 12.85595703125 ,           15.0, 10.325950208910736 ,           2909,           2868,            1904,              80,        2988,     1108,                1786
  970418364,        4096,          88, 13.50732421875 ,           15.0, 10.511338050211291 ,           2903,           2866,            1971,             170,        3263,      833,                2027
  980418547,        4096,          84, 15.265869140625,           17.0, 11.89366818508648  ,           2903,           2877,            2234,             324,        2674,     1422,                1444
  990418643,        4096,          62, 13.545166015625,           16.0,  9.8778877834425   ,           2915,           2892,            2133,              65,        3740,      356,                2510
 1000418656,        4096,          90, 14.43994140625 ,           14.0, 12.347895126662955 ,           2908,           2875,            1688,             418,        2863,     1233,                1652
 1010419614,        4096,          79, 13.064208984375,           13.0, 10.45449254223755  ,           2963,           2928,            1719,             181,        3266,      830,                2066
 1020419868,        4096,          75, 11.16259765625 ,           11.0,  9.364026259223754 ,           2898,           2861,            1201,              72,        2746,     1350,                1548
 1030420161,        4096,          94, 12.194091796875,           13.0,  9.975442221526365 ,           2913,           2879,            1482,             100,        2896,     1200,                1683
 1040420391,        4096,          97, 11.64404296875 ,           12.0,  9.347185492069455 ,           2908,           2876,            1398,              54,        2882,     1214,                1699
 1050420752,        4096,          87, 11.985595703125,           13.0,  9.671384657230139 ,           2911,           2880,            1432,             111,        3405,      691,                2216
 1060420856,        4096,         100, 10.970458984375,           12.0,  9.306303327598496 ,           2907,           2870,            1042,              77,        3092,     1004,                1928
 1070421083,        4096,          87, 15.290283203125,           14.0, 13.362251639043043 ,           2901,           2863,            1806,             465,        2686,     1410,                1475
 1080421093,        4096,         109, 14.27734375    ,           16.0, 11.312207971670956 ,           2901,           2865,            2184,             162,        2761,     1335,                1549
 1090421326,        4096,          97, 12.97119140625 ,           15.0, 10.355999645552144 ,           2894,           2858,            1904,             104,        3326,      770,                2101
 1100421678,        4096,         113, 12.540771484375,           14.0, 10.20492173070484  ,           2889,           2860,            1560,              97,        3065,     1031,                1833
 1110421695,        4096,          99, 13.267822265625,           14.0, 11.057877730645718 ,           2884,           2860,            1716,             216,        2968,     1128,                1761
 1120421898,        4096,          84, 13.55126953125 ,           14.0, 11.04880014827019  ,           2884,           2854,            1790,             208,        3164,      932,                1942
 1130533518,        4096,          98, 14.134521484375,           15.0, 11.14009771129125  ,           2935,           2909,            1939,             230,        3068,     1028,                1862
 1140533787,        4096,         101, 13.640380859375,           14.0, 11.644716992667583 ,           2892,           2863,            1710,             295,        3077,     1019,                1876
 1150533825,        4096,          68, 11.75341796875 ,           12.0,  9.632922775986248 ,           2893,           2865,            1383,             116,        3098,      998,                1862
 1160819468,        4096,          69, 13.069580078125,           13.0, 10.600882205486633 ,           2965,           2935,            1575,             196,        3111,      985,                1924
 1170819767,        4096,          96, 13.0810546875  ,           13.0, 11.323318914142808 ,           2909,           2863,            1580,             219,        2906,     1190,                1724
 1180820077,        4096,          63, 11.572265625   ,           12.0,  9.599481815022276 ,           2894,           2852,            1361,             122,        2984,     1112,                1787
 1190820171,        4096,          78, 12.376220703125,           12.0, 10.736447260589284 ,           2887,           2857,            1437,             175,        2791,     1305,                1564
 1200820762,        4096,          89, 13.135498046875,           14.0, 10.28563971855509  ,           2897,           2866,            1870,             119,        2680,     1416,                1463
 1210820991,        4096,          65, 12.80810546875 ,           14.0,  9.977454698976405 ,           2886,           2857,            1780,             110,        2829,     1267,                1587
 1220821351,        4096,          87, 11.40087890625 ,           13.0,  8.53931276560203  ,           2884,           2864,            1394,              33,        3829,      267,                2589
 1230821581,        4096,          61, 12.4775390625  ,           12.0, 10.870935096912621 ,           2868,           2850,            1231,             232,        3035,     1061,                1832
 1240821698,        4096,          61, 14.0341796875  ,           14.0, 11.824225484633757 ,           2888,           2864,            1788,             334,        3342,      754,                2128
 1250821738,        4096,          74, 14.390625      ,           16.0, 11.382691853341415 ,           2882,           2857,            2098,             238,        3186,      910,                1969
 1260821788,        4096,          81, 16.211669921875,           17.0, 13.309413908153449 ,           2890,           2870,            2261,             481,        2969,     1127,                1736
 1270821992,        4096,          70, 15.677978515625,           17.0, 12.462289343424262 ,           2885,           2861,            2293,             372,        2816,     1280,                1568
 1280822202,        4096,          77, 12.77197265625 ,           13.0, 10.617334349390733 ,           2893,           2849,            1647,             166,        3213,      883,                2039
 1290822543,        4096,          96, 13.4443359375  ,           13.0, 11.726594339082256 ,           2930,           2900,            1586,             293,        2921,     1175,                1741
 1300823179,        4096,          53, 10.19140625    ,           11.0,  8.346148085566835 ,           2887,           2860,             961,              56,        3580,      516,                2390
 1310823202,        4096,          88, 12.842041015625,           12.0, 11.443910436062938 ,           2885,           2853,            1426,             240,        2949,     1147,                1732
 1320823242,        4096,          91, 12.37744140625 ,           13.0, 10.37295814322501  ,           2868,           2842,            1557,             154,        3004,     1092,                1773
 1330823321,        4096,         104, 13.630859375   ,           14.0, 11.311699939066392 ,           2873,           2858,            1820,             224,        3021,     1075,                1827
 1340823621,        4096,         104, 13.8154296875  ,           14.0, 11.679585229942614 ,           2873,           2860,            1803,             227,        3087,     1009,                1875
 1350823626,        4096,          74, 15.055908203125,           16.0, 12.428410201316915 ,           2878,           2864,            2082,             381,        2870,     1226,                1630
 1360823791,        4096,          71, 13.36669921875 ,           15.0, 10.527786171981655 ,           2888,           2862,            1918,             143,        3495,      601,                2287
 1370823868,        4096,         142, 15.313232421875,           14.0, 14.303773291399766 ,           2889,           2856,            1765,             527,        2891,     1205,                1710
 1380824390,        4096,         100, 16.015625      ,           16.0, 13.388965766513671 ,           2933,           2910,            2128,             427,        2667,     1429,                1476
 1390824732,        4096,          69, 13.574951171875,           15.0, 10.746513219846452 ,           2885,           2858,            1902,             159,        2884,     1212,                1684
 1400824866,        4096,          72, 12.734375      ,           13.0, 10.532675626799442 ,           2884,           2853,            1513,             177,        3089,     1007,                1852
 1410824996,        4096,          87, 15.3642578125  ,           15.0, 13.192187845550212 ,           2889,           2862,            1994,             399,        2938,     1158,                1725
 1420825097,        4096,          98, 12.7587890625  ,           13.0, 10.970860769950113 ,           2888,           2859,            1569,             204,        3391,      705,                2185
 1430825132,        4096,          81, 14.2666015625  ,           15.0, 11.589020167840875 ,           2897,           2866,            1926,             230,        2838,     1258,                1645
 1441294565,        4096,          91, 13.476318359375,           15.0, 10.456122315055294 ,           2923,           2905,            1920,             151,        2932,     1164,                1728
 1451451801,        4096,          90, 12.36181640625 ,           13.0, 10.07808609592706  ,           2907,           2883,            1471,             126,        3193,      903,                1977
 1461451982,        4096,         107, 13.7587890625  ,           14.0, 11.270464065528996 ,           2893,           2864,            1847,             252,        2920,     1176,                1694
 1471452043,        4096,          93, 14.4501953125  ,           16.0, 11.511011200937258 ,           2884,           2859,            2154,             222,        3240,      856,                1996
 1481452598,        4096,          97, 14.207275390625,           15.0, 11.776140959449164 ,           2874,           2850,            1882,             278,        2722,     1374,                1486
 1491452648,        4096,          82, 13.567626953125,           15.0, 10.450652119375663 ,           2871,           2854,            2011,             121,        2984,     1112,                1806
 1501452936,        4096,          87, 14.021240234375,           15.0, 11.393262641494257 ,           2882,           2864,            1901,             264,        3056,     1040,                1843
 1511452951,        4096,          74, 13.552001953125,           14.0, 11.345137264346835 ,           2884,           2855,            1714,             267,        2882,     1214,                1672
 1521453223,        4096,          84, 13.998779296875,           14.0, 11.644043058330679 ,           2880,           2850,            1873,             255,        2770,     1326,                1540
 1531453438,        4096,          77, 13.296875      ,           15.0, 10.488984642381979 ,           2875,           2846,            1909,             143,        3158,      938,                1955
 1541453490,        4096,          80, 13.667724609375,           15.0, 10.863306091455769 ,           2870,           2850,            1956,             211,        3260,      836,                2035
 1551453979,        4096,          62, 12.97900390625 ,           13.0, 10.850796908017735 ,           2947,           2929,            1464,             274,        3061,     1035,                1905
 1561454006,        4096,          99, 13.095947265625,           13.0, 11.460330832663344 ,           2898,           2869,            1554,             242,        2912,     1184,                1754
 1571454224,        4096,          97, 13.582763671875,           15.0, 11.30204911673621  ,           2879,           2854,            1823,             203,        3139,      957,                1913
 1581454317,        4096,          85, 13.86669921875 ,           14.0, 11.574542058780043 ,           2879,           2857,            1805,             285,        3102,      994,                1870
 1591454470,        4096,          79, 13.26904296875 ,           13.0, 11.536621321078636 ,           2886,           2861,            1614,             252,        2993,     1103,                1814
 1601455353,        4096,          83, 14.142333984375,           14.0, 12.318189707806782 ,           2885,           2862,            1763,             306,        2970,     1126,                1750
 1611455539,        4096,          94, 14.5830078125  ,           15.0, 12.036015465959403 ,           2884,           2855,            2044,             292,        3047,     1049,                1824
 1621455638,        4096,          79, 16.322998046875,           18.0, 13.19168026147882  ,           2880,           2847,            2406,             482,        3115,      981,                1880
 1631455765,        4096,          94, 15.223388671875,           15.0, 13.385843656337203 ,           2874,           2842,            1956,             428,        3065,     1031,                1855
 1641455848,        4096,          92, 14.582275390625,           14.0, 13.036141479224115 ,           2868,           2846,            1832,             370,        2957,     1139,                1740
 1651455988,        4096,          80, 14.769775390625,           16.0, 12.33524131380749  ,           2874,           2856,            2049,             338,        3116,      980,                1891
 1661456010,        4096,         125, 17.104736328125,           17.0, 15.281793734856386 ,           2873,           2851,            2257,             608,        2772,     1324,                1547
 1671456125,        4096,          78, 15.81103515625 ,           17.0, 12.661917531285557 ,           2874,           2850,            2330,             381,        3082,     1014,                1839
 1681457434,        4096,         140, 16.38720703125 ,           17.0, 13.6561238699878   ,           2874,           2852,            2353,             492,        3119,      977,                1876
 1691539798,        4096,         144, 16.629150390625,           16.0, 14.616831982610028 ,           2900,           2881,            2179,             522,        3046,     1050,                1833
 1701539856,        4096,          83, 14.590087890625,           15.0, 12.468835737177418 ,           2865,           2842,            1965,             326,        3024,     1072,                1811
 1711540779,        4096,          81, 14.640869140625,           16.0, 12.291411176009026 ,           2865,           2840,            2107,             292,        3359,      737,                2129
 1721540908,        4096,         141, 15.888916015625,           16.0, 14.635733714578178 ,           2865,           2846,            2104,             460,        3212,      884,                1972
 1731540963,        4096,         159, 17.070556640625,           15.0, 16.348474230064674 ,           2867,           2853,            1999,             624,        2693,     1403,                1519
 1741541093,        4096,          89, 14.128662109375,           15.0, 11.438387891044183 ,           2886,           2868,            1931,             235,        3068,     1028,                1861
 1751541096,        4096,         116, 15.204833984375,           14.0, 14.396817209828708 ,           2873,           2852,            1845,             434,        3316,      780,                2078
 1761541377,        4096,         108, 18.9833984375  ,           19.0, 16.37886755893467  ,           2879,           2858,            2449,             817,        2662,     1434,                1448
 1771541388,        4096,          86, 15.1748046875  ,           17.0, 11.980196466825076 ,           2866,           2843,            2345,             231,        3171,      925,                1931
 1781541502,        4096,          90, 15.710693359375,           17.0, 12.578097550735377 ,           2876,           2849,            2344,             441,        3171,      925,                1932
 1791541568,        4096,          90, 16.54443359375 ,           17.0, 13.727039717497231 ,           2873,           2850,            2334,             494,        3045,     1051,                1825
 1801546743,        4096,          98, 17.1953125     ,           18.0, 14.138611303442914 ,           2905,           2892,            2420,             558,        3134,      962,                1917
 1811546946,        4096,          84, 15.8671875     ,           16.0, 13.737367688028655 ,           2885,           2854,            2116,             483,        3028,     1068,                1810
 1821547694,        4096,         100, 15.39990234375 ,           16.0, 13.339678096161588 ,           2893,           2864,            2102,             378,        3356,      740,                2119
 1831547853,        4096,          65, 12.2177734375  ,           14.0,  9.746290185817855 ,           2875,           2848,            1487,             134,        3602,      494,                2385
 1841547883,        4096,         127, 14.923583984375,           14.0, 14.09420975021945  ,           2874,           2850,            1700,             488,        3180,      916,                1997
 1851548321,        4096,         145, 17.795166015625,           16.0, 17.008407447442575 ,           2879,           2862,            2100,             697,        3204,      892,                1984
 1861548714,        4096,         141, 16.61669921875 ,           17.0, 14.202705729625716 ,           2878,           2855,            2335,             500,        3328,      768,                2094
 1871548789,        4096,         183, 16.30810546875 ,           16.0, 14.659674197697107 ,           2877,           2856,            2122,             533,        3180,      916,                1947
 1881549339,        4096,          99, 16.339111328125,           17.0, 14.00235379178309  ,           2865,           2845,            2279,             472,        3140,      956,                1922
 1891549600,        4096,         139, 18.1982421875  ,           17.0, 16.784748728498894 ,           2868,           2849,            2361,             711,        2994,     1102,                1789
 1901549698,        4096,         134, 16.171875      ,           15.0, 15.319346364870631 ,           2872,           2853,            2001,             511,        3179,      917,                1954
 1911549705,        4096,         136, 15.764892578125,           15.0, 14.581487349660332 ,           2870,           2853,            2041,             464,        3323,      773,                2136
 1921549842,        4096,          87, 14.60107421875 ,           15.0, 12.3090310317183   ,           2867,           2848,            2019,             326,        3358,      738,                2144
 1931549859,        4096,          98, 14.974609375   ,           16.0, 12.913146607862938 ,           2869,           2844,            2063,             385,        3273,      823,                2068
 1941549915,        4096,         150, 16.24169921875 ,           14.0, 15.87923416230788  ,           2867,           2842,            1811,             616,        2824,     1272,                1638
 1951549926,        4096,         130, 16.452880859375,           17.0, 14.781703431914968 ,           2860,           2844,            2205,             476,        3209,      887,                2013
 1961549966,        4096,          97, 15.604248046875,           17.0, 12.413268304559148 ,           2856,           2846,            2339,             378,        3011,     1085,                1790
 1971550021,        4096,         102, 16.62060546875 ,           17.0, 13.672619809162676 ,           2867,           2853,            2369,             560,        3017,     1079,                1789
 1981550253,        4096,         101, 17.078369140625,           18.0, 14.375066605703873 ,           2866,           2850,            2396,             551,        3118,      978,                1882
 1991550407,        4096,          88, 17.432373046875,           18.0, 14.838249534613611 ,           2870,           2855,            2359,             648,        2905,     1191,                1686
