cycle      , unique_vpns, max_counter, mean_counter  , median_counter, std_counter         , approx_ws_ge_1, approx_ws_ge_4, approx_ws_ge_16, approx_ws_ge_32, common_vpns, new_vpns, pages_accessed_flag
   26861519,        4096,           8, 0.35107421875 ,            0.0, 0.554886688143694   ,           1354,              5,               0,               0,           0,     4096,                   0
   27862013,        4096,          17, 0.476318359375,            0.0, 0.6430409628455316  ,           1794,              6,               1,               0,        4095,        1,                1759
   28862441,        4096,          10, 0.203857421875,            0.0, 0.455215826198385   ,            809,              4,               0,               0,        4095,        1,                 691
   29862912,        4096,           9, 0.01904296875 ,            0.0, 0.22670504591028962 ,             58,              4,               0,               0,        4095,        1,                  54
   30868117,        4096,           9, 0.006591796875,            0.0, 0.20540904639026672 ,              5,              4,               0,               0,        4095,        1,                   4
   31868964,        4096,           8, 0.0380859375  ,            0.0, 0.25582023495952405 ,            137,              4,               0,               0,        4093,        3,                 136
   32869223,        4096,          16, 0.013427734375,            0.0, 0.37832557780905385 ,             13,              4,               2,               0,        4093,        3,                  10
   33869836,        4096,           8, 0.0078125     ,            0.0, 0.22412481699657893 ,              6,              5,               0,               0,        4095,        1,                   3
   34870360,        4096,          16, 0.009033203125,            0.0, 0.28669459685578746 ,              7,              6,               1,               0,        4094,        2,                   4
   35871557,        4096,           8, 0.007080078125,            0.0, 0.19936096500755582 ,              7,              4,               0,               0,        4095,        1,                   4
   36872040,        4096,          16, 0.009033203125,            0.0, 0.29508745206515047 ,              7,              4,               1,               0,        4094,        2,                   3
   37872185,        4096,           8, 0.00537109375 ,            0.0, 0.16964594042277792 ,              5,              3,               0,               0,        4095,        1,                   3
   38874030,        4096,           5, 0.00439453125 ,            0.0, 0.13614468625360585 ,              5,              3,               0,               0,        4095,        1,                   3
   39880465,        4096,           7, 0.00439453125 ,            0.0, 0.15461717027902422 ,              4,              2,               0,               0,        4095,        1,                   3
   40887725,        4096,           7, 0.00439453125 ,            0.0, 0.15774356356153735 ,              4,              3,               0,               0,        4095,        1,                   3
   41893975,        4096,          18, 0.01220703125 ,            0.0, 0.41850203958650134 ,              5,              4,               2,               0,        4093,        3,                   3
   42894334,        4096,          20, 0.042724609375,            0.0, 0.49743560978156126 ,            109,              8,               2,               0,        4091,        5,                 105
   44021805,        4096,          11, 0.362548828125,            0.0, 0.5686759460362195  ,           1404,              8,               0,               0,        4094,        2,                1403
   45021935,        4096,          16, 0.262451171875,            0.0, 0.5351111956934177  ,           1028,              6,               1,               0,        4094,        2,                 985
   46023158,        4096,           8, 0.289306640625,            0.0, 0.5053840082702232  ,           1122,              3,               0,               0,        4095,        1,                1110
   47023923,        4096,           7, 0.101318359375,            0.0, 0.3361928102719604  ,            397,              4,               0,               0,        4095,        1,                 354
   48024151,        4096,           5, 0.005859375   ,            0.0, 0.13787181174775856 ,             12,              3,               0,               0,        4095,        1,                   9
   49024166,        4096,           5, 0.009521484375,            0.0, 0.14203173311023362 ,             29,              3,               0,               0,        4094,        2,                  28
   50024319,        4096,          16, 0.0126953125  ,            0.0, 0.28612947950277223 ,             27,              4,               1,               0,        4094,        2,                  26
   51025182,        4096,          10, 0.166259765625,            0.0, 0.425556018297615   ,            658,              3,               0,               0,        4095,        1,                 658
   52025393,        4096,          16, 0.057373046875,            0.0, 0.3715720056291634  ,            202,              5,               1,               0,        4094,        2,                 200
   53141020,        4096,           8, 0.007568359375,            0.0, 0.2146748659283868  ,              7,              4,               0,               0,        4095,        1,                   6
   54147107,        4096,           8, 0.006103515625,            0.0, 0.1827840603608952  ,              5,              5,               0,               0,        4095,        1,                   4
   55269335,        4096,           5, 0.355712890625,            0.0, 0.5508175560638993  ,           1326,              4,               0,               0,        4094,        2,                1325
   56269342,        4096,           7, 0.548583984375,            0.0, 0.6277929367731447  ,           1987,              4,               0,               0,        4094,        2,                1934
   57269473,        4096,           7, 0.50537109375 ,            0.0, 0.5581170028335714  ,           1983,              4,               0,               0,        4094,        2,                1782
   58269741,        4096,          16, 0.55078125    ,            1.0, 0.5878484463689918  ,           2189,              4,               1,               0,        4094,        2,                2155
   59269766,        4096,           8, 0.3544921875  ,            0.0, 0.5189940464508864  ,           1425,              5,               0,               0,        4095,        1,                1389
   60271536,        4096,           7, 0.047607421875,            0.0, 0.2905227276090733  ,            165,              7,               0,               0,        4095,        1,                 164
   61271593,        4096,           8, 0.0107421875  ,            0.0, 0.23360673236812943 ,             13,              5,               0,               0,        4095,        1,                  10
   62273263,        4096,           9, 0.0087890625  ,            0.0, 0.20233234388097987 ,             14,              4,               0,               0,        4095,        1,                  10
