vpn,itlb_hit,dtlb_hit,stlb_hit,stlb_ptw
1026900,0,1505,1,1
1026901,0,14848600,68,31
1026902,0,1486,1,1
1026957,0,24,2,5
208732,0,846,0,4
208733,0,811,0,3
208734,0,830,0,3
208735,0,839,0,3
208736,0,838,0,4
208737,0,855,0,3
208738,0,1262,0,3
208739,0,1383,0,4
208740,0,1422,0,4
208741,0,1383,0,4
208742,0,1360,0,4
208743,0,1371,0,4
208744,0,1426,0,4
208745,0,1391,0,4
208746,0,1371,1,4
208747,0,1395,0,5
208748,0,911,0,4
208749,0,832,0,3
208750,0,826,0,3
208751,0,820,0,3
208752,0,793,0,3
208753,0,797,0,3
208754,0,815,0,3
208755,0,831,0,3
208756,0,816,0,3
208757,0,841,0,3
208758,0,805,0,3
208759,0,824,0,3
208760,0,805,0,3
208761,0,829,0,3
208762,0,834,0,3
208763,0,824,0,3
208764,0,815,0,3
208765,0,818,0,3
208766,0,823,0,3
208767,0,816,0,3
208768,0,843,0,3
208769,0,815,0,3
208770,0,808,0,3
208771,0,806,0,3
208772,0,831,0,3
208773,0,788,0,3
208774,0,814,0,3
208775,0,810,0,3
208776,0,858,0,3
208777,0,819,0,3
208778,0,814,0,3
208779,0,829,0,3
208780,0,827,0,3
208781,0,801,0,3
208782,0,805,0,3
208783,0,791,0,3
208784,0,843,0,3
208785,0,823,0,3
208786,0,834,0,3
208787,0,844,0,3
208788,0,795,0,3
208789,0,836,0,3
208790,0,833,0,3
208791,0,826,0,3
208792,0,830,0,3
208793,0,833,0,4
208794,0,793,0,4
208795,0,809,0,3
208796,0,827,0,3
208797,0,810,0,3
208798,0,811,0,3
208799,0,816,0,3
208800,0,843,0,3
208801,0,830,0,3
208802,0,809,0,3
208803,0,804,0,3
208804,0,806,0,3
208805,0,824,0,3
208806,0,820,0,3
208807,0,806,0,3
208808,0,848,0,3
208809,0,797,0,4
208810,0,833,0,3
208811,0,829,1,4
208812,0,803,0,3
208813,0,804,0,3
208814,0,831,0,3
208815,0,829,0,3
208816,0,830,0,3
208817,0,821,0,3
208818,0,843,0,3
208819,0,808,0,3
208820,0,808,0,4
208821,0,838,0,3
208822,0,829,0,3
208823,0,837,0,3
208824,0,797,0,4
208825,0,816,0,3
208826,0,792,0,3
208827,0,854,0,3
208828,0,799,0,3
208829,0,815,0,3
208830,0,834,0,3
208831,0,826,0,3
208832,0,784,0,3
208833,0,802,0,3
208834,0,830,0,3
208835,0,831,0,3
208836,0,813,0,3
208837,0,830,0,3
208838,0,815,0,3
208839,0,849,0,4
208840,0,803,0,3
208841,0,787,0,3
208842,0,820,0,3
208843,0,793,0,3
208844,0,815,0,3
208845,0,805,0,3
208846,0,823,0,3
208847,0,824,0,3
208848,0,814,0,3
208849,0,822,0,3
208850,0,823,0,3
208851,0,816,0,3
208852,0,816,0,3
208853,0,796,0,3
208854,0,807,0,3
208855,0,804,1,3
208856,0,819,0,3
208857,0,831,0,3
208858,0,806,0,3
208859,0,837,1,3
208860,0,841,0,4
208861,0,832,0,3
208862,0,833,0,3
208863,0,829,0,3
208864,0,808,0,4
208865,0,831,0,4
208866,0,808,0,3
208867,0,859,0,4
208868,0,824,0,3
208869,0,830,0,3
208870,0,828,0,3
208871,0,798,0,3
208872,0,837,0,3
208873,0,839,0,3
208874,0,788,0,4
208875,0,809,0,3
208876,0,803,0,4
208877,0,804,0,3
208878,0,845,0,4
208879,0,812,0,3
208880,0,829,0,3
208881,0,805,0,3
208882,0,801,0,3
208883,0,814,0,3
208884,0,831,0,3
208885,0,812,0,3
208886,0,823,0,3
208887,0,830,0,3
208888,0,800,0,3
208889,0,818,0,3
208890,0,814,0,3
208891,0,830,0,3
208892,0,822,0,3
208893,0,831,0,3
208894,0,817,0,3
208895,0,858,0,3
208896,0,800,0,3
208897,0,802,0,3
208898,0,862,0,4
208899,0,807,0,3
208900,0,817,0,3
208901,0,819,0,3
208902,0,819,0,3
208903,0,836,0,3
208904,0,824,0,3
208905,0,843,0,3
208906,0,837,0,3
208907,0,834,0,3
208908,0,809,0,3
208909,0,826,0,3
208910,0,813,0,3
208911,0,829,0,3
208912,0,835,0,3
208913,0,824,0,3
208914,0,822,0,4
208915,0,795,0,3
208916,0,801,0,3
208917,0,823,0,3
