vpn,itlb_hit,dtlb_hit,stlb_hit,stlb_ptw
10,0,478,0,1
100004,0,407,0,1
100005,0,498,0,1
100006,0,494,0,1
100007,0,490,0,1
100008,0,493,0,1
100009,0,494,0,1
100010,0,116,0,1
1000195,0,238,0,1
1000196,0,494,0,1
1000197,0,209,0,1
1000234,0,303,0,1
1000354,0,320,0,1
1000401,0,484,0,1
1000402,0,497,0,1
1000403,0,499,0,1
1000404,0,494,0,1
1000405,0,493,0,1
1000406,0,493,0,1
1000407,0,493,0,1
1000408,0,489,0,1
1000409,0,494,0,1
1000410,0,496,0,1
1000411,0,498,0,1
1000412,0,493,0,1
1000413,0,500,0,1
1000414,0,501,0,1
1000415,0,496,0,1
1000416,0,503,0,1
1000417,0,497,0,1
1000418,0,206,0,1
1000443,0,250,0,1
1000444,0,496,0,1
1000445,0,199,0,1
1000532,0,389,0,1
1000533,0,498,0,1
1000534,0,492,0,1
1000535,0,497,0,1
1000536,0,492,0,1
1000537,0,492,0,1
1000569,0,301,0,1
1000570,0,26,0,1
1000594,0,0,0,1
1000755,0,426,0,1
1000756,0,490,0,1
1000757,0,501,0,1
1000758,0,492,0,1
1000759,0,496,0,1
1000760,0,495,0,1
1000761,0,495,0,1
1000762,0,494,0,1
1000763,0,500,0,1
1000764,0,500,0,1
1000765,0,495,0,1
1000766,0,501,0,1
1000767,0,497,0,1
1000768,0,495,0,1
1000769,0,494,0,1
1000770,0,494,0,1
1000771,0,490,0,1
1000772,0,377,0,1
1000830,0,213,0,1
1000831,0,494,0,1
1000832,0,494,0,1
1000833,0,498,0,1
1000834,0,494,0,1
1000835,0,489,0,1
1000836,0,193,0,1
100085,0,81,0,1
1000876,0,313,0,1
1000900,0,36,0,1
1000901,0,54,0,1
1000905,0,0,0,1
1000910,0,100,0,1
1000911,0,179,0,1
100102,0,25,0,1
1001031,0,144,0,1
1001032,0,493,0,1
1001033,0,498,0,1
1001034,0,496,0,1
1001035,0,504,0,1
1001036,0,494,0,1
1001037,0,372,0,1
1001051,0,329,0,1
100118,0,85,0,1
1001190,0,440,0,1
1001191,0,495,0,1
1001192,0,497,0,1
1001193,0,496,0,1
1001194,0,495,0,1
1001195,0,497,0,1
1001196,0,499,0,1
1001197,0,500,0,1
1001198,0,493,0,1
1001199,0,496,0,1
1001200,0,498,0,1
1001201,0,492,0,1
1001202,0,496,0,1
1001203,0,500,0,1
1001204,0,500,0,1
1001205,0,496,0,1
1001206,0,494,0,1
1001207,0,408,0,1
1001323,0,165,0,1
1001324,0,499,0,1
1001325,0,497,0,1
1001326,0,488,0,1
1001327,0,494,0,1
1001328,0,497,0,1
1001329,0,237,0,1
1001390,0,2,0,1
1001391,0,491,0,1
1001392,0,498,0,1
1001393,0,491,0,1
1001394,0,493,0,1
1001395,0,490,0,1
1001396,0,381,0,1
100140,0,84,0,1
1001432,0,73,0,1
1001433,0,504,0,1
1001434,0,503,0,1
1001435,0,505,0,1
1001436,0,499,0,1
1001437,0,503,0,1
1001438,0,409,0,1
1001469,0,297,0,1
1001591,0,29,0,1
1001596,0,39,0,1
1001597,0,494,0,1
1001598,0,388,0,1
100161,0,91,0,1
1001636,0,2,0,1
1001694,0,15,0,1
1001695,0,273,0,1
100170,0,94,0,1
1001731,0,294,0,1
1001732,0,499,0,1
1001733,0,506,0,1
1001734,0,496,0,1
1001735,0,492,0,1
1001736,0,497,0,1
1001737,0,498,0,1
1001738,0,504,0,1
1001739,0,499,0,1
1001740,0,501,0,1
1001741,0,502,0,1
1001742,0,496,0,1
1001743,0,501,0,1
1001744,0,495,0,1
1001745,0,500,0,1
1001746,0,501,0,1
1001747,0,498,0,1
1001748,0,501,0,1
1001749,0,63,0,1
1001767,0,133,0,1
1001768,0,495,0,1
1001769,0,325,0,1
100177,0,363,1,1
100178,0,491,0,1
